hex,lat,lon,n_focos,brillo_medio,brillo_max,frp_medio,frp_max,brillo_t31_medio,pct_noche,pct_verano,pct_conf_alta,n_anios_activo,mes_pico,elevacion,temp_media,precip_anual,viento_medio,humedad_relativa,cobertura_veg,dist_asentamiento_km,dist_ruta_km
85cf868bfffffff,-48.759,-67.707,2.0,334.785,341.37,2.505,2.63,281.04,0.0,0.0,0.0,2.0,5.0,194.0,8.49,288.35,6.67,62.53,pastizal,61.34,1.986
85cf869bfffffff,-48.906,-67.662,4.0,337.475,345.7,3.355,4.54,287.875,0.0,0.25,0.0,3.0,5.0,220.0,8.49,288.35,6.67,62.53,pastizal,45.215,0.554
85cf86d7fffffff,-48.808,-67.513,5.0,333.65,336.85,4.136,5.73,287.59,0.0,0.0,0.0,2.0,3.0,121.0,9.36,259.15,6.51,61.9,pastizal,57.868,12.401
85cf8803fffffff,-46.259,-72.068,5.0,345.962,367.0,8.314,13.15,290.998,0.0,0.0,0.2,3.0,3.0,522.0,4.03,496.4,5.81,79.59,bosque,46.517,50.378
85cf8807fffffff,-46.199,-72.257,2.0,335.15,339.23,6.88,11.65,285.535,0.0,0.0,0.0,2.0,9.0,732.0,4.03,496.4,5.81,79.59,bosque,61.909,56.895
85cf880bfffffff,-46.169,-71.912,4.0,336.312,343.35,6.465,14.1,287.698,0.0,1.0,0.0,1.0,2.0,1861.0,4.03,496.4,5.81,79.59,suelo_desnudo,47.351,34.955
85cf880ffffffff,-46.108,-72.1,2.0,327.965,328.25,1.76,2.14,291.605,0.0,0.0,0.0,1.0,9.0,530.0,4.03,496.4,5.81,79.59,pastizal,60.783,41.28
85cf8813fffffff,-46.411,-72.037,2.0,353.3,367.0,11.71,18.98,304.165,0.0,0.0,0.5,1.0,3.0,1472.0,4.03,496.4,5.81,79.59,suelo_desnudo,34.796,62.844
85cf881bfffffff,-46.32,-71.88,169.0,333.792,367.0,12.671,109.29,282.558,0.574,0.0,0.047,3.0,3.0,202.0,4.03,496.4,5.81,79.59,pastizal,31.776,48.276
85cf882bfffffff,-45.896,-72.319,1.0,330.45,330.45,2.26,2.26,291.56,0.0,0.0,0.0,1.0,10.0,526.0,2.75,945.35,3.86,88.98,bosque,72.839,52.321
85cf884ffffffff,-45.987,-71.602,5.0,331.038,339.21,17.596,32.48,293.37,0.0,0.0,0.0,2.0,10.0,619.0,4.56,584.0,4.22,81.31,pastizal,48.577,5.513
85cf8853fffffff,-46.288,-71.536,1.0,344.34,344.34,58.08,58.08,308.03,0.0,0.0,0.0,1.0,7.0,242.0,4.56,584.0,4.22,81.31,pastizal,29.552,37.498
85cf8857fffffff,-46.229,-71.724,5.0,340.522,352.07,40.436,58.08,284.274,0.2,0.0,0.0,1.0,7.0,1044.0,4.56,584.0,4.22,81.31,pastizal,36.092,33.956
85cf885bfffffff,-46.197,-71.382,1.0,340.33,340.33,0.49,0.49,298.34,0.0,1.0,0.0,1.0,2.0,886.0,4.56,584.0,4.22,81.31,pastizal,43.221,29.259
85cf8863fffffff,-45.866,-71.976,6.0,333.417,344.64,19.762,43.21,304.172,0.167,1.0,0.0,1.0,2.0,715.0,4.56,584.0,4.22,81.31,pastizal,49.661,26.253
85cf8867fffffff,-45.806,-72.163,7.0,335.05,342.75,4.57,6.63,282.789,0.0,0.0,0.0,4.0,8.0,685.0,4.56,584.0,4.22,81.31,bosque,57.325,42.004
85cf886bfffffff,-45.776,-71.822,6.0,336.445,367.0,10.518,14.64,298.745,0.167,1.0,0.167,2.0,2.0,625.0,4.56,584.0,4.22,81.31,pastizal,34.061,20.638
85cf886ffffffff,-45.715,-72.008,7.0,333.626,348.78,6.016,16.2,293.074,0.0,0.571,0.0,2.0,2.0,514.0,4.56,584.0,4.22,81.31,pastizal,41.998,35.862
85cf8877fffffff,-45.957,-72.132,1.0,313.57,313.57,1.37,1.37,278.1,1.0,0.0,0.0,1.0,9.0,780.0,4.56,584.0,4.22,81.31,bosque,65.326,38.02
85cf887bfffffff,-45.927,-71.789,1.0,345.94,345.94,6.37,6.37,313.83,0.0,1.0,0.0,1.0,2.0,675.0,4.56,584.0,4.22,81.31,pastizal,46.455,11.271
85cf8883fffffff,-46.653,-72.162,52.0,331.553,367.0,15.676,96.5,296.542,0.558,1.0,0.077,1.0,2.0,1756.0,4.03,496.4,5.81,79.59,suelo_desnudo,42.374,91.225
85cf8887fffffff,-46.593,-72.352,49.0,324.166,367.0,5.386,26.23,288.538,0.878,1.0,0.061,1.0,2.0,202.0,4.03,496.4,5.81,79.59,agua,55.596,92.996
85cf888ffffffff,-46.502,-72.194,5.0,313.908,336.05,3.138,10.7,289.642,0.8,1.0,0.0,1.0,2.0,415.0,4.03,496.4,5.81,79.59,bosque,43.657,77.765
